name,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller,text,,,,,,,,,,,,,,
Down in Bermuda,"A pilot crash-lands on a mysterious island. Thirty years later, he tries to find his way home.",0,1,0,0,0,0,0,0,0,"Down in Bermuda. A pilot crash-lands on a mysterious island. Thirty years later, he tries to find his way home.",,,,,,,,,,,,,,
Star Trek: Deep Space Nine - Dominion Wars,A strategy game based on Star Trek: Deep Space Nine (1993).,1,1,0,0,0,0,0,1,0,Star Trek: Deep Space Nine - Dominion Wars. A strategy game based on Star Trek: Deep Space Nine (1993).,,,,,,,,,,,,,,
Goodbye Volcano High,Fang is a typical 18-year-old dinosaur: they're more concerned about their band going viral than they are about what happens after graduation. But they're about to have much bigger problems. Will they find time to figure themselves out?,0,1,0,0,0,0,0,0,0,Goodbye Volcano High. Fang is a typical 18-year-old dinosaur: they're more concerned about their band going viral than they are about what happens after graduation. But they're about to have much bigger problems. Will they find time to figure themselves out?,,,,,,,,,,,,,,
Have a Nice Death,"Have a Nice Death is a 2D action roguelike where you play as an overworked Death, whose employees have run rampant, In order to restore order, you'll have to grab your trusty scythe and show your employees who's boss.",1,1,1,0,0,0,0,0,0,"Have a Nice Death. Have a Nice Death is a 2D action roguelike where you play as an overworked Death, whose employees have run rampant, In order to restore order, you'll have to grab your trusty scythe and show your employees who's boss.",,,,,,,,,,,,,,
Road of the Dead 2,Two soldiers attempt to escape a city infested by zombies.,1,0,0,0,0,0,0,1,0,Road of the Dead 2. Two soldiers attempt to escape a city infested by zombies.,,,,,,,,,,,,,,
Ni no Kuni: Wrath of the White Witch,"Oliver discovers that his mother is not dead, but kidnapped and taken hostage by the White Witch.",0,1,0,0,0,1,0,0,0,"Ni no Kuni: Wrath of the White Witch. Oliver discovers that his mother is not dead, but kidnapped and taken hostage by the White Witch.",,,,,,,,,,,,,,
Bot Vice,"Show off your skills and reflexes in this frantic single screen gallery shooter, inspired by titles like Time Crisis and Wild Guns. You play as Erin Saver, carrying out her personal vendetta against the criminal Wildbots.",1,0,0,0,0,0,0,1,0,"Bot Vice. Show off your skills and reflexes in this frantic single screen gallery shooter, inspired by titles like Time Crisis and Wild Guns. You play as Erin Saver, carrying out her personal vendetta against the criminal Wildbots.",,,,,,,,,,,,,,
Surgical Strike,"The UN have approved a surgical strike on the stronghold of a Middle Eastern strongman, who's rocketing civilian targets. The player's team is sent in a heavily armed hovercraft to stop him. Avoid collateral damage or the game is over.",1,0,0,0,0,0,0,0,0,"Surgical Strike. The UN have approved a surgical strike on the stronghold of a Middle Eastern strongman, who's rocketing civilian targets. The player's team is sent in a heavily armed hovercraft to stop him. Avoid collateral damage or the game is over.",,,,,,,,,,,,,,
Postal 2: Paradise Lost,"The Postal Dude returns to his hometown of Paradise, Arizona to look for his dog, Champ, but a nuclear strike has transformed Paradise into an atomic wasteland.",1,0,1,1,0,0,0,0,0,"Postal 2: Paradise Lost. The Postal Dude returns to his hometown of Paradise, Arizona to look for his dog, Champ, but a nuclear strike has transformed Paradise into an atomic wasteland.",,,,,,,,,,,,,,
Papa's Donuteria,"Roller Coasters speed overhead as you embark on a donut-cooking adventure in Papa's Donuteria. You just got a job at Papa's Donuteria in the whimsical town of Powder Point. Sure, the great ... See full summary »",0,0,0,0,1,0,0,0,0,"Papa's Donuteria. Roller Coasters speed overhead as you embark on a donut-cooking adventure in Papa's Donuteria. You just got a job at Papa's Donuteria in the whimsical town of Powder Point. Sure, the great ... See full summary »",,,,,,,,,,,,,,
